--- Searching for 宇都宮市立　明保小学校 ---
Found: ID=978, Name=宇都宮市立　明保小学校

--- Event Sales for School ID 978 (FY2024, FY2025) ---
         id  report_id  fiscal_year  event_date        event_name     sales  month
0   1199381        131         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
1   1207944        132         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
2   1207945        132         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
3   1216643        133         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
4   1216644        133         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
5   1225342        134         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
6   1225343        134         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
7   1235079        135         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
8   1235080        135         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
9   1235081        135         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
10  1244954        136         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
11  1244955        136         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
12  1244956        136         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
13  1254829        137         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
14  1254830        137         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
15  1254831        137         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
16  1265738        138         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
17  1265739        138         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
18  1265740        138         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
19  1279927        139         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
20  1279928        139         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
21  1279929        139         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
22  1296516        140         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
23  1296517        140         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
24  1296518        140         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
25  1313856        141         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
26  1313857        141         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
27  1313858        141         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
28  1332945        142         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
29  1332946        142         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
30  1332947        142         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
31  1352887        143         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
32  1352888        143         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
33  1352889        143         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
34  1392771        145         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
35  1392772        145         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
36  1392773        145         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
37  1811553        166         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
38  1811554        166         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
39  1811555        166         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
40  1832550        167         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
41  1832551        167         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
42  1832552        167         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
43  1874342        169         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
44  1874343        169         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
45  1874344        169         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
46  2041813        177         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
47  2041814        177         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
48  2041815        177         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
49  1268676        139         2024  2025-03-25  2024年度　5年　冒険活動教室  120371.0      4
50  1279926        139         2024  2025-03-25  2024年度　5年　冒険活動教室   53900.0      3
51  1284729        140         2024  2025-03-25  2024年度　5年　冒険活動教室  120371.0      4
52  1296515        140         2024  2025-03-25  2024年度　5年　冒険活動教室   53900.0      3
53  1301518        141         2024  2025-03-25  2024年度　5年　冒険活動教室  120371.0      4
54  1313855        141         2024  2025-03-25  2024年度　5年　冒険活動教室   53900.0      3
55  1319287        142         2024  2025-03-25  2024年度　5年　冒険活動教室  120371.0      4
56  1332944        142         2024  2025-03-25  2024年度　5年　冒険活動教室   53900.0      3
57  1338560        143         2024  2025-03-25  2024年度　5年　冒険活動教室  120371.0      4
58  1352886        143         2024  2025-03-25  2024年度　5年　冒険活動教室   53900.0      3
59  1378444        145         2024  2025-03-25  2024年度　5年　冒険活動教室  120371.0      4
60  1392770        145         2024  2025-03-25  2024年度　5年　冒険活動教室   53900.0      3
61  1797226        166         2024  2025-03-25  2024年度　5年　冒険活動教室  120371.0      4
62  1811552        166         2024  2025-03-25  2024年度　5年　冒険活動教室   53900.0      3
63  1818468        167         2024  2025-03-25  2024年度　5年　冒険活動教室  120371.0      4
64  1832549        167         2024  2025-03-25  2024年度　5年　冒険活動教室   53900.0      3
65  1860333        169         2024  2025-03-25  2024年度　5年　冒険活動教室  120371.0      4
66  1874341        169         2024  2025-03-25  2024年度　5年　冒険活動教室   53900.0      3
67  2027731        177         2024  2025-03-25  2024年度　5年　冒険活動教室  120371.0      4
68  2041812        177         2024  2025-03-25  2024年度　5年　冒険活動教室   53900.0      3
69  1321460        142         2025  2025-09-04    2025年度　5年　冒険活動  223352.0      9
70  1321461        142         2025  2025-09-04    2025年度　5年　冒険活動   31139.0     10
71  1341275        143         2025  2025-09-04    2025年度　5年　冒険活動  223352.0      9
72  1341276        143         2025  2025-09-04    2025年度　5年　冒険活動   31139.0     10
73  1381159        145         2025  2025-09-04    2025年度　5年　冒険活動  223352.0      9
74  1381160        145         2025  2025-09-04    2025年度　5年　冒険活動   31139.0     10
75  1799941        166         2025  2025-09-04    2025年度　5年　冒険活動  223352.0      9
76  1799942        166         2025  2025-09-04    2025年度　5年　冒険活動   31139.0     10
77  1818469        167         2025  2025-09-04    2025年度　5年　冒険活動  223352.0      9
78  1818470        167         2025  2025-09-04    2025年度　5年　冒険活動   31139.0     10
79  1860334        169         2025  2025-09-04    2025年度　5年　冒険活動  223352.0      9
80  1860335        169         2025  2025-09-04    2025年度　5年　冒険活動   31139.0     10
81  2027732        177         2025  2025-09-04    2025年度　5年　冒険活動  223352.0      9
82  2027733        177         2025  2025-09-04    2025年度　5年　冒険活動   31139.0     10

--- Checking for duplicates by Name and Year ---
Duplicates found:
         id  report_id  fiscal_year  event_date        event_name     sales  month
0   1199381        131         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
1   1207944        132         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
2   1207945        132         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
3   1216643        133         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
4   1216644        133         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
5   1225342        134         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
6   1225343        134         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
7   1235079        135         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
8   1235080        135         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
9   1235081        135         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
10  1244954        136         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
11  1244955        136         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
12  1244956        136         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
13  1254829        137         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
14  1254830        137         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
15  1254831        137         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
16  1265738        138         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
17  1265739        138         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
18  1265740        138         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
19  1279927        139         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
20  1279928        139         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
21  1279929        139         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
22  1296516        140         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
23  1296517        140         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
24  1296518        140         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
25  1313856        141         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
26  1313857        141         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
27  1313858        141         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
28  1332945        142         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
29  1332946        142         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
30  1332947        142         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
31  1352887        143         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
32  1352888        143         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
33  1352889        143         2024  2024-11-26    2024年度　6年　修学旅行    4123.0      1
34  1392771        145         2024  2024-11-26    2024年度　6年　修学旅行   50330.0     11
35  1392772        145         2024  2024-11-26    2024年度　6年　修学旅行  165646.0     12
